line	trial	Zn	Cu	Fe	Cd
TX01M5009-28	HWWpanel_2013_Tipton	28.74114795	4.65965005	31.69210707	0.015318625
TX00V1131	HWWpanel_2013_Tipton	24.25321652	3.771117325	23.0674528	0.007354904
TX99U8618	HWWpanel_2013_Tipton	28.61315885	4.725340189	22.51608542	0.010099709
TX96D1073	HWWpanel_2013_Tipton	26.03387177	4.525858687	24.9615259	0.010705338
2180	HWWpanel_2013_Tipton	31.90836921	5.663303902	29.73258303	0.016158475
HG-9	HWWpanel_2013_Tipton	31.47210892	4.712055164	30.57898748	0.019323844
TX86A5606	HWWpanel_2013_Tipton	23.18642424	3.550998238	23.5279184	0.011972479
TX86A6880	HWWpanel_2013_Tipton	26.59679564	3.876330723	25.30391047	0.01262333
TX86A8072	HWWpanel_2013_Tipton	24.47325764	3.443919549	23.54875947	0.017000363
CREST	HWWpanel_2013_Tipton	25.6387599	3.952957521	27.52848458	0.01105917
ROSEBUD	HWWpanel_2013_Tipton	29.23191396	3.98805872	23.87841784	0.019647755
JUDITH	HWWpanel_2013_Tipton	23.86184879	4.218043384	25.83803626	0.012708766
MT85200	HWWpanel_2013_Tipton	25.0087665	3.755986945	22.90056794	0.015631923
NUSKY	HWWpanel_2013_Tipton	23.0867994	3.184286269	23.60941082	0.012921796
MT9513	HWWpanel_2013_Tipton	22.52691396	3.69355872	22.98841784	0.012997755
MT9904	HWWpanel_2013_Tipton	25.0856571	3.432490395	23.32862687	0.011930895
MT9982	HWWpanel_2013_Tipton	27.60815885	3.859340189	22.03108542	0.016899709
GENOU	HWWpanel_2013_Tipton	25.24179564	4.112830723	23.32891047	0.01752333
NORRIS	HWWpanel_2013_Tipton	28.92414921	4.837462357	24.68995247	0.020103189
YELLOWSTONE	HWWpanel_2013_Tipton	26.6637599	4.455457521	28.24348458	0.01315917
MT0495	HWWpanel_2013_Tipton	24.38387177	4.030858687	23.0265259	0.016055338
MTS0531	HWWpanel_2013_Tipton	22.95669133	4.134490246	23.18813885	0.015272891
DECADE	HWWpanel_2013_Tipton	27.05987336	4.36570132	24.58558124	0.017269685
MT06103	HWWpanel_2013_Tipton	26.64008372	3.606165033	20.62207885	0.016928451
JUDEE	HWWpanel_2013_Tipton	25.95548101	4.139348076	22.85506376	0.011901898
LAKIN	HWWpanel_2013_Tipton	22.72086372	3.125823488	20.78444829	0.008523164
STANTON	HWWpanel_2013_Tipton	22.4885633	3.811904514	21.46253208	0.018078741
TREGO	HWWpanel_2013_Tipton	25.46086372	3.992823488	23.44944829	0.012673164
KARL_92	HWWpanel_2013_Tipton	24.80058628	4.238719818	25.23602171	0.011875314
DODGE	HWWpanel_2013_Tipton	30.14070046	6.531832383	30.18300285	0.016481173
NORKAN	HWWpanel_2013_Tipton	27.43851391	4.723147399	24.78890664	0.016291771
CHENEY	HWWpanel_2013_Tipton	31.65313875	5.421859369	29.67241422	0.017142455
NEWTON	HWWpanel_2013_Tipton	32.26840584	5.234351376	30.02263467	0.014192867
LARNED	HWWpanel_2013_Tipton	25.66008372	3.874665033	26.48707885	0.010528451
PARKER76	HWWpanel_2013_Tipton	29.44382343	4.762416295	29.5934833	0.012693819
KIRWIN	HWWpanel_2013_Tipton	25.00862847	4.644419851	25.55291366	0.014867731
SAGE	HWWpanel_2013_Tipton	24.55737161	3.363351526	22.02312269	0.01190087
TRISON	HWWpanel_2013_Tipton	26.63351016	4.351191854	26.22840629	0.009443305
EAGLE	HWWpanel_2013_Tipton	27.10351016	4.256691854	25.32840629	0.014993305
SHAWNEE	HWWpanel_2013_Tipton	33.89497215	4.98278068	30.23825529	0.016420339
PARKER	HWWpanel_2013_Tipton	30.64840584	5.180351376	33.61763467	0.017042867
KAW61	HWWpanel_2013_Tipton	30.97548101	4.509848076	28.29006376	0.015851898
TASCOSA	HWWpanel_2013_Tipton	25.0618552	4.066653212	24.17733279	0.01850661
BISON	HWWpanel_2013_Tipton	28.96946708	5.117054378	28.4003741	0.016052778
KIOWA	HWWpanel_2013_Tipton	27.88396451	4.592999593	25.56643124	0.015455915
WICHITA	HWWpanel_2013_Tipton	28.00742767	4.683092611	26.72694886	0.017466105
COMANCHE	HWWpanel_2013_Tipton	26.68885294	3.85861524	24.60260768	0.017597803
BAKERS_WHITE	HWWpanel_2013_Tipton	21.42875416	3.75603588	21.24993362	0.014097149
BURCHETT	HWWpanel_2013_Tipton	23.1923947	4.53998196	25.28325903	0.014069236
CUTTER	HWWpanel_2013_Tipton	23.32250926	4.259754411	29.77726605	0.012945195
DUMAS	HWWpanel_2013_Tipton	25.11125241	4.740686086	28.58247508	0.012028335
HONDO	HWWpanel_2013_Tipton	24.50744409	4.052239075	27.40188446	0.015156206
JAGALENE	HWWpanel_2013_Tipton	23.32436181	4.080182636	24.72441615	0.013329363
LONGHORN	HWWpanel_2013_Tipton	22.26446708	4.621554378	25.1453741	0.010852778
NEOSHO	HWWpanel_2013_Tipton	24.38974452	3.951658048	21.34880068	0.010550629
OGALLALA	HWWpanel_2013_Tipton	28.14244409	4.227239075	26.79188446	0.015206206
POSTROCK	HWWpanel_2013_Tipton	25.64739095	4.400526414	21.95775868	0.01377077
THUNDERBOLT	HWWpanel_2013_Tipton	26.77770423	3.760250855	22.61283569	0.019621284
W04-417	HWWpanel_2013_Tipton	25.48385294	4.14011524	24.60760768	0.009547803
NUFRONTIER	HWWpanel_2013_Tipton	26.06270423	4.181750855	27.23283569	0.013121284
NUHORIZON	HWWpanel_2013_Tipton	25.86728664	4.300685937	21.11198706	0.012020331
ONAGA	HWWpanel_2013_Tipton	30.24396451	5.437999593	25.86143124	0.014755915
RONL	HWWpanel_2013_Tipton	26.07626382	4.016522778	28.08013353	0.012182633
2145	HWWpanel_2013_Tipton	23.48960624	4.061090997	26.42855307	0.012524554
HEYNE	HWWpanel_2013_Tipton	25.19429671	3.965322102	22.45897642	0.012572506
KS00F5-20-3	HWWpanel_2013_Tipton	25.75941127	3.785094553	32.52798344	0.015998465
OVERLEY	HWWpanel_2013_Tipton	24.60929296	4.411366557	23.61347607	0.01452404
FULLER	HWWpanel_2013_Tipton	29.71418865	5.402026079	28.79770445	0.013273601
COSSACK	HWWpanel_2013_Tipton	29.94460624	4.936590997	28.31355307	0.019474554
ENHANCER	HWWpanel_2013_Tipton	28.43086652	4.562839735	26.93714863	0.020209185
SANTA_FE	HWWpanel_2013_Tipton	24.55125721	4.152493355	25.93805017	0.00920988
VENANGO	HWWpanel_2013_Tipton	23.72125721	3.910493355	25.33305017	0.01180988
WB411W	HWWpanel_2013_Tipton	27.51892155	4.929534071	29.137484	0.014023189
KEOTA	HWWpanel_2013_Tipton	27.41664653	4.43749819	27.12951807	0.015353899
TX05A001822	HWWpanel_2013_Tipton	30.8093461	4.869579217	31.69260185	0.012359476
TX06A001263	HWWpanel_2013_Tipton	25.18075495	4.370955383	27.26832506	0.015451073
TX06A001132	HWWpanel_2013_Tipton	24.83418865	3.882026079	24.59270445	0.016073601
TX06A001281	HWWpanel_2013_Tipton	27.29392155	4.769034071	26.742484	0.012323189
TX06A001386	HWWpanel_2013_Tipton	27.16065617	4.512876022	25.29065101	0.011400419
TX05V7259	HWWpanel_2013_Tipton	33.23441127	4.394094553	27.38298344	0.016448465
TX05V7269	HWWpanel_2013_Tipton	32.59815442	5.150526228	30.80819247	0.011531605
TX05A001188	HWWpanel_2013_Tipton	28.88136909	4.79389452	24.85109149	0.012106048
TX07A001279	HWWpanel_2013_Tipton	26.54808055	4.362790241	24.31462889	0.012722046
TX07A001318	HWWpanel_2013_Tipton	29.37541621	4.292749524	26.75019507	0.015258736
TX07A001420	HWWpanel_2013_Tipton	33.43308055	5.745290241	29.10962889	0.014822046
TX06V7266	HWWpanel_2013_Tipton	26.1685051	4.623335386	24.04474675	0.017408332
OK1067071	HWWpanel_2013_Tipton	25.37731342	5.170282398	26.87033736	0.012480462
OK1067274	HWWpanel_2013_Tipton	23.06845196	4.472622726	23.52062096	0.012322896
OK1068002	HWWpanel_2013_Tipton	23.37052809	4.74265069	24.28823639	0.014804905
OK1068009	HWWpanel_2013_Tipton	28.11542282	4.216278948	27.88727843	0.013681489
OK1068026	HWWpanel_2013_Tipton	27.37834765	4.554782248	24.13984934	0.018622458
OK1068112	HWWpanel_2013_Tipton	26.49042282	4.457278948	23.45227843	0.017931489
OK1070275	HWWpanel_2013_Tipton	23.33845572	3.704078271	22.64112131	0.011871362
OK1070267	HWWpanel_2013_Tipton	25.65357027	4.480850723	25.12512833	0.019397322
OK09634	HWWpanel_2013_Tipton	24.12376524	4.019347166	24.21069797	0.012023411
OK10119	HWWpanel_2013_Tipton	23.58002552	3.810595905	21.62429352	0.010008042
GALLAGHER	HWWpanel_2013_Tipton	24.19481517	3.543132192	22.74279591	0.012999276
OK07231	HWWpanel_2013_Tipton	21.6135051	3.382335386	21.08474675	0.010308332
OK07S117	HWWpanel_2013_Tipton	25.11080553	4.054254359	25.97666296	0.012452755
OK08328	HWWpanel_2013_Tipton	24.49845572	3.396578271	26.23612131	0.011771362
BIG_SKY	HWWpanel_2013_Tipton	22.85345196	3.444122726	22.69062096	0.012622896
DANBY	HWWpanel_2013_Tipton	24.23991395	3.667711552	27.28046996	0.01224993
E2041	HWWpanel_2013_Tipton	22.67321521	4.278801386	29.14449541	0.01826169
DENALI	HWWpanel_2013_Tipton	23.80849264	3.726905056	25.76292199	0.016059541
CO050337-2	HWWpanel_2013_Tipton	24.42760107	3.839862249	24.44672898	0.011806715
BYRD	HWWpanel_2013_Tipton	28.38810333	4.438400221	27.39145409	0.016665522
CO07W245	HWWpanel_2013_Tipton	25.38619222	3.876986083	26.42100577	0.015565118
MCGILL	HWWpanel_2013_Tipton	26.80810993	3.782929644	24.00853745	0.013388275
